Strain,Base
AF100-2-A,AF100-2-A_S2
AF100-2-B,AF100-2-B_S3
AF100-2-C,AF100-2-C_S4
AF100-3-A,AF100-3-A_S5
AF100-3-B,AF100-3-B_S6
AF100-3-C,AF100-3-C_S7
AF100-4-A,AF100-4-A_S8
AF100-4-B,AF100-4-B_S9
AF100-4-C,AF100-4-C_S10
AF100-5-A,AF100-5-A_S11
AF100-5-B,AF100-5-B_S12
AF100-5-C,AF100-5-C_S13
AF100-6-A,AF100-6-A_S14
AF100-6-B,AF100-6-B_S15
AF100-6-D,AF100-6-D_S16
AF100-7-A,AF100-7-A_S17
AF100-7-B,AF100-7-B_S18
AF100-7-C,AF100-7-C_S19
AF100-8-A,AF100-8-A_S20
AF100-8-B,AF100-8-B_S21
AF100-8-C,AF100-8-C_S22
AF100-9-A,AF100-9-A_S23
AF100-9-B,AF100-9-B_S24
AF100-9-C,AF100-9-C_S25
