STRAIN,FILEBASE
B6893_CDC-4,B6_CDC_4
AFIS_2101_CDC-1,AFCDC_1
B6892_CDC-3,B68_3
B1821_CDC-8,B18_8
Mg18-1,Mg18_1
B5289_CDC-25,B52_25
B5259_CDC-23,B52_23
B5269_CDC-24,B52_24
B5224_CDC-21,B52_21
B10540_CDC-20,B10_20
B5460_CDC-13,B54_13
C56A.1_1.1,C56A1_11
B72911_CDC-15,B72_15
AFIS_13708_CDC-14,AF_13_14
AFIS_2302_CDC-18,AF_18
B7518_CDC-26,B75_26
B7586_CDC-30,B75_30
B7444_CDC-7,B7_CDC_7
B5288_CDC-16,B52_16
Moose_3-1.1,Mo_3_1_1
117535A-1.1,S11A_1_1
AFIS_23107_CDC-12,AF_12
AFUG_031815-1869,AF_1869
84-NIH,S84_NIH
B5461_CDC-2,B5_2
AFUG_082015-1200,AF_1200
AFUG_100413-0667,AF_0667
B5257_CDC-28,B52_28
