StrainID,FileBase
C103,171006_K00166_0274_BHLLJ2BBXX_1_TP-D7-001_TP-D5-005
C106,171006_K00166_0274_BHLLJ2BBXX_1_TP-D7-001_TP-D5-008
C116,171006_K00166_0274_BHLLJ2BBXX_1_TP-D7-003_TP-D5-002
C192,171006_K00166_0274_BHLLJ2BBXX_1_TP-D7-012_TP-D5-008
C202,180202_K00166_0334_BHNTMFBBXX_4_TP-D7-002_TP-D5-001
C216,180202_K00166_0334_BHNTMFBBXX_4_TP-D7-003_TP-D5-007
C226,180202_K00166_0334_BHNTMFBBXX_4_TP-D7-005_TP-D5-001
C234,180202_K00166_0334_BHNTMFBBXX_4_TP-D7-006_TP-D5-001
C257,180202_K00166_0334_BHNTMFBBXX_4_TP-D7-008_TP-D5-008
C263,180202_K00166_0334_BHNTMFBBXX_4_TP-D7-009_TP-D5-006
C340,180907_E00306_0370_AHMNKHCCXY_1_11373FM0032L01
C39,170309_K00166_0192_BHHMH3BBXX_6_TP-D7-005_TP-D5-006
C554,C554
C386,C386
