UCR Sample ID,SPECIES,CASE,State,ACC,HOST,HOST (COMMON NAME),HOST FAMILY,HOST ORDER,HOST ECOLOGY,TISSUE,Aspergillosis,Aspergillosis Event,Event,Date Collected,State,County,Notes,Nanodrop Conc (ng/ul),260/280,260/230,Date Extracted,Status
24,Aspergillus fumigatus,26624,OH,4,Branta canadensis,"Goose, Canada",Anatidae,Anseriformes,water bird,heart,TRUE,TRUE,11,7/9/2015,OH,Logan,,na,na,na,7/23/2020,shipped on 8/10/2020
25,Aspergillus fumigatus,26696,WI,1,Branta canadensis,"Goose, Canada",Anatidae,Anseriformes,water bird,bronchi,TRUE,TRUE,12,8/6/2015,WI,Dodge,only two birds found dead,na,na,na,7/23/2020,shipped on 8/10/2020
26,Aspergillus fumigatus,26696,WI,2,Branta canadensis,"Goose, Canada",Anatidae,Anseriformes,water bird,bronchi,TRUE,TRUE,12,8/6/2015,WI,Dodge,only two birds found dead,na,na,na,7/23/2020,shipped on 8/10/2020
27,Aspergillus fumigatus,26707,ND,2,Leucophaeus pipixcan,"Gull, Franklin's",Laridae,Charadriiformes,water bird,air sac,TRUE,FALSE,13,8/11/2015,ND,Burleigh,mortality event of mixed causes,416.9,1.8,1.3,7/22/2020,shipped on 8/10/2020
28,Aspergillus fumigatus,26829,WI,1,Branta canadensis,"Goose, Canada",Anatidae,Anseriformes,water bird,lung/air sac,TRUE,TRUE,14,10/8/2015,WI,Dane,,na,na,na,7/23/2020,shipped on 8/10/2020
29,Aspergillus fumigatus,26829,WI,2,Branta canadensis,"Goose, Canada",Anatidae,Anseriformes,water bird,lung,TRUE,TRUE,14,10/8/2015,WI,Dane,,451.3,1.76,1.4,7/22/2020,shipped on 8/10/2020
30,Aspergillus fumigatus,26835,MI,1,Larus smithsonianus,"Gull, American Herring",Laridae,Charadriiformes,water bird,liver,TRUE,FALSE,15,8/17/2015,MI,Leelanau,multiple birds collected for Bot E surveillance,476.3,1.88,1.56,7/22/2020,shipped on 8/10/2020
31,Aspergillus fumigatus,26879,WI,1,Bubo scandiacus,"Owl, Snowy",Strigidae,Strigiformes,raptor,air sac,TRUE,FALSE,16,10/25/2015,WI,Ashland,COD listed as emaciation; single animal mortality,340.6,1.76,1.27,7/22/2020,shipped on 8/10/2020
32,Aspergillus fumigatus,27510,FL,1,Leucophaeus atricilla,"Gull, Laughing",Laridae,Charadriiformes,water bird,air sac,TRUE,TRUE,17,8/23/2016,FL,Bay,,na,na,na,7/23/2020,shipped on 8/10/2020
33,Aspergillus fumigatus,27539,ME,1,Larus smithsonianus,"Gull, American Herring",Laridae,Charadriiformes,water bird,lung,TRUE,FALSE,18,9/12/2016,ME,Knox,one bird with aspergillosis; one with salmonellosis,na,na,na,7/23/2020,shipped on 8/10/2020
34,Aspergillus fumigatus,27540,ME,1,Larus marinus,"Gull, Great Black-backed",Laridae,Charadriiformes,water bird,lung,TRUE,FALSE,19,9/14/2016,ME,Cumberland,COD: BT40,na,na,na,7/23/2020,shipped on 8/10/2020
35,Aspergillus fumigatus,27562,MD,1,Leucophaeus atricilla,"Gull, Laughing",Laridae,Charadriiformes,water bird,air sac,TRUE,FALSE,20,9/27/2016,MD,Baltimore,COD: BT40,270.7,1.74,1.46,7/24/2020,shipped on 8/10/2020
36,Aspergillus fumigatus,27717,WA,1,Circus hudsonius,"Harrier, Northern",Accipitridae,Accipitriformes,raptor,lung,TRUE,FALSE,21,1/23/2017,WA,Walla Walla,avian cholera event,299,1.75,1.12,7/22/2020,shipped on 8/10/2020
37,Aspergillus fumigatus,27721,KS,1,Haliaeetus leucocephalus,"Eagle, Bald",Accipitridae,Accipitriformes,raptor,lung,TRUE,FALSE,22,1/21/2017,KS,Reno,COD: lead poisoning; no histo (cannot support aspergillosis diagnosis),313.8,1.57,1.06,7/22/2020,shipped on 8/10/2020
38,Aspergillus fumigatus,27784,SC,1,Haliaeetus leucocephalus,"Eagle, Bald",Accipitridae,Accipitriformes,raptor,"swab, abdominal air sac",TRUE,FALSE,23,2/18/2017,SC,Berkeley,single animal mortality,299.7,1.61,1.02,7/22/2020,shipped on 8/10/2020
39,Aspergillus fumigatus,28113,MA,1,Sterna hitundo,"Tern, Common",Laridae,Charadriiformes,water bird,"lung, air sac",TRUE,FALSE,24,5/22/2017,MA,Barnstable,single animal mortality,402.6,1.92,1.71,7/24/2020,shipped on 8/10/2020
40,Aspergillus fumigatus,28253,SC,1,Melanitta americana,"Duck, Black Scoter",Anatidae,Anseriformes,"water bird, sea bird",air sac,TRUE,UNKNOWN,25,5/3/2017,SC,Charleston,died of emaciation; 2/3 birds with aspergillosis,na,na,na,7/23/2020,shipped on 8/10/2020
41,Aspergillus fumigatus,28267,CA,1,Brachyramphus marmoratus,"Murrelet, Marbled",Alcidae,Charadriiformes,sea bird,air sac,TRUE,FALSE,26,7/7/2017,CA,Del Norte,single animal submission; emaciated,214.2,1.84,1.32,7/24/2020,shipped on 8/10/2020
42,Aspergillus fumigatus,28426,NE,1,Anas platyrhynchos,"Duck, Mallard",Anatidae,Anseriformes,water bird,lung,TRUE,TRUE,27,1/7/2018,NE,Scotts Bluff,"could try to get more isolates if tissue remains; several birds, all with aspergillosis",442.7,1.75,1.49,7/24/2020,shipped on 8/10/2020
43,Aspergillus fumigatus,28429,MN,3,Anas platyrhynchos,"Duck, Mallard",Anatidae,Anseriformes,water bird,lung,TRUE,TRUE,28,1/9/2018,MN,Dakota,"could try to get more isolates if tissue remains; several birds, all with aspergillosis",220.6,1.85,1.36,7/24/2020,shipped on 8/10/2020
44,Aspergillus fumigatus,28834,NV,1,Larus sp.,"Gull, Unidentified",Laridae,Charadriiformes,water bird,air sac,TRUE,FALSE,29,7/24/2018,NV,Washoe,botulism mortality event in mallards; the only gull to die had aspergillosis,224.5,1.61,1.18,8/4/2020,shipped on 8/10/2020
45,Aspergillus fumigatus,28858,WI,1,Larus smithsonianus,"Gull, American Herring",Laridae,Charadriiformes,water bird,air sac,TRUE,UNKNOWN,30,7/18/2018,WI,Ashland,"mortality event; only two carcasses submitted, one with aspergillosis and one with trauma (latter problem not part of main mortality event)",433.1,1.88,1.44,7/22/2020,shipped on 8/10/2020
46,Aspergillus fumigatus,28913,MS,1,Leucophaeus atricilla,"Gull, Laughing",Laridae,Charadriiformes,water bird,air sac,TRUE,TRUE,31,8/29/2018,MS,Harrison,"3 birds submitted, all 3 have aspergillosis, but one died of salmonellosis",158.6,1.7,1.47,7/24/2020,shipped on 8/10/2020
47,Aspergillus fumigatus,28913,MS,2,Leucophaeus atricilla,"Gull, Laughing",Laridae,Charadriiformes,water bird,liver,TRUE,TRUE,31,8/29/2018,MS,Harrison,"3 birds submitted, all 3 have aspergillosis, but one died of salmonellosis",186.3,1.87,1.68,7/24/2020,shipped on 8/10/2020
48,Aspergillus fumigatus,29376,WI,1,Haliaeetus leucocephalus,"Eagle, Bald",Accipitridae,Accipitriformes,raptor,air sac,TRUE,FALSE,32,8/27/2019,WI,La Crosse,COD: WNV; single animal mortality,541.5,1.85,1.55,7/22/2020,shipped on 8/10/2020
49,Aspergillus fumigatus,29436,MA,1,Larus smithsonianus,"Gull, American Herring",Laridae,Charadriiformes,water bird,air sac,TRUE,TRUE,33,10/7/2019,MA,Essex,,310.4,1.82,1.2,7/22/2020,shipped on 8/10/2020
50,Aspergillus fumigatus,29436,MA,2,Larus smithsonianus,"Gull, American Herring",Laridae,Charadriiformes,water bird,air sac,TRUE,TRUE,33,10/7/2019,MA,Essex,,438.5,1.93,1.6,7/22/2020,shipped on 8/10/2020
